"","Est","Stderr"
"Connecticut Sun",1.3982585626764,0.569215475965497
"Las Vegas Aces",0.709571842174178,0.519381673244051
"Seattle Storm",0.939497721250737,0.535051757759097
"Washington Mystics",-1.38535008003496,0.544885914316508
"Dallas Wings",-1.54433539531246,0.568404734570625
"Los Angeles Sparks",-1.6224126987123,0.600226788212712
"Indiana Fever",-0.35580005346268,0.497628585228491
"Minnesota Lynx",1.16965488722043,0.519483924790688
"New York Liberty",1.78582952159506,0.627956831721555
"Phoenix Mercury",0.223909749760924,0.506831918185615
"Atlanta Dream",-0.568010025339367,0.53149848372376
"Chicago Sky",-0.750814031815972,0.515444591067241
"HFA",0.298805900730251,0.242280536893977
